品牌 (Brand),車型型號 (Model),Year 1,Year 2,Year 3,Year 4,Year 5,Year 6,Year 7,Year 8,Year 9
SYM,SPORT RIDER 125i,"4,430","4,130","3,820","3,510","3,200","2,890",,,
SYM,JET X (SE),"7,900","7,350","6,800","6,250","5,700","5,150",,,
SYM,TUSCANY,150,"8,730","8,110","7,510","6,910","6,300","5,690",,
SYM,JET 14 200i (N1),"7,060","6,570","6,080","5,580","5,100","4,600",,,
SYM,HUSKY 150 SE,"10,190","9,480","8,770","8,070","7,360","6,650",,,
SYM,HUSKY,150,"9,920","9,230","8,550","7,850","7,170","6,480",,
SYM,SYM VF3I,185,"7,740","7,250","6,770","6,290","5,800","5,310",,
SYM,SYM VF3I 185 (N2),"8,470","7,950","7,420","6,890","6,360","5,830",,,
SYM,SYM VF3I 185 LE,"9,270","8,700","8,110","7,540","6,950","6,380",,,
SYM,SYM VF3I 185 LE (PRO),"9,120","8,550","7,980","7,410","6,840","6,270",,,
SYM,SYM VF3I 185 SE,"7,990","7,490","6,990","6,490","5,990","5,490",,,
WMOTO,WMOTO XTREME 150i STD,"8,160","7,590","7,020","6,460","5,890","5,320",,,
WMOTO,WMOTO XTREME 150i SE,"8,420","7,830","7,250","6,660","6,080","5,490",,,
WMOTO,WMOTO XTREME 150i (N1),"8,930","8,310","7,690","7,070","6,450","5,830",,,
WMOTO,WMOTO XTREME 150i SE (N1),"9,540","8,880","8,210","7,560","6,890","6,220",,,
WMOTO,CUB CLASSIC 110 SE,"3,600","3,370","3,150","2,930","2,700","2,490",,,
WMOTO,VE1-110R (N1),"3,300","3,100","2,890","2,690","2,490","2,280",,,
WMOTO,WM110,"2,890","2,710","2,530","2,350","2,180","2,000",,,
WMOTO,F-15i,"5,120","4,800","4,490","4,170","3,860","3,540",,,
WMOTO,VE1-110E,"3,160","2,970","2,770","2,580","2,380","2,180",,,
WMOTO,ES125 STD,"3,870","3,630","3,400","3,150","2,920","2,680",,,
WMOTO,ES125 SE,"4,050","3,800","3,560","3,310","3,060","2,800",,,
WMOTO,GEMMA,125,"4,970","4,670","4,360","4,050","3,750","3,440",,
WMOTO,CUB CLASSIC 110,"3,770","3,530","3,310","3,070","2,840","2,610",,,
WMOTO,VE1-110H (N1),"3,450","3,240","3,030","2,810","2,610","2,390",,,
WMOTO,SM 125I,"4,310","4,050","3,780","3,510","3,240","2,980",,,
WMOTO,RT1,"6,770","6,360","5,940","5,520","5,110","4,690",,,
WMOTO,ES125 STD (N1),"4,200","3,950","3,690","3,420","3,160","2,910",,,
WMOTO,VE1-110R,"3,480","3,260","3,050","2,830","2,620","2,410",,,
WMOTO,NX150S,"5,280","4,950","4,630","4,310","3,970","3,650",,,
WMOTO,NEXY+180,"6,930","6,490","6,070","5,650","5,220","4,790",,,
WMOTO,CRUISER AMT,125,"4,780","4,500","4,200","3,900","3,600","3,320",,
SCOMADI,TL125,"6,490","6,120","5,750","5,370","4,990","4,610","4,230","3,860","3,480"
SCOMADI,TL125 SE,"7,300","6,880","6,460","6,030","5,610","5,190","4,770","4,340","3,910"
SCOMADI,TT125,"8,820","8,310","7,800","7,290","6,770","6,260","5,750","5,240","4,730"
KEEWAY,TX200G,"5,050","4,740","4,420","4,120","3,800","3,500",,,
KEEWAY,RKV200G,"5,290","4,960","4,640","4,320","3,980","3,660",,,
KEEWAY,CAFÉ RACER,152,"5,220","4,900","4,580","4,250","3,940","3,610",,
KEEWAY,K-LIGHT,202,"6,610","6,200","5,790","5,390","4,980","4,580",,
KEEWAY,XDV 180 EVO,"7,840","7,360","6,870","6,390","5,910","5,420",,,
BENELLI,VZ125i,"3,930","3,690","3,450","3,210","2,970","2,720",,,
BENELLI,VZ125i SE,"4,170","3,920","3,660","3,400","3,150","2,880",,,
BENELLI,TNT135,"5,580","5,240","4,890","4,550","4,210","3,870",,,
BENELLI,TNT135 SE / TNT135I SE,"5,640","5,300","4,950","4,590","4,250","3,900",,,
BENELLI,150S,"6,310","5,930","5,540","5,140","4,760","4,370",,,
BENELLI,RFS150i STD,"5,050","4,750","4,430","4,120","3,810","3,500",,,
BENELLI,RFS150i SE,"5,230","4,910","4,590","4,260","3,950","3,620",,,
BENELLI,RFS150i LE,"5,290","4,960","4,640","4,320","3,980","3,660",,,
BENELLI,R18i,"5,560","5,220","4,870","4,530","4,190","3,850",,,
BENELLI,R18i SE,"6,080","5,700","5,330","4,950","4,590","4,210",,,
BENELLI,TNT135I LE / TNT135I SE (N1),"6,810","6,390","5,970","5,550","5,130","4,710",,,
BENELLI,PANAREA,125,"5,700","5,350","5,000","4,650","4,300","3,950",,
BENELLI,150S SE,"6,900","6,480","6,050","5,620","5,200","4,770",,,
KTN,GP125,"4,650","4,360","4,070","3,780","3,510","3,220",,,
KTN,Z ONE S 200 / Z II,200,"5,230","4,910","4,590","4,260","3,950","3,620",,
KTN,Z ONE S 200R,"5,320","5,000","4,670","4,340","4,010","3,690",,,
KTN,RHINO,"4,920","4,610","4,310","4,010","3,700","3,400",,,
CMC,ITALJET,125,"5,210","4,890","4,570","4,240","3,930","3,600",,
GPX,GENTLEMENT,"7,350","6,900","6,440","5,990","5,540","5,090",,,
GPX,GENTLEMAN (Special Edition),"7,920","7,440","6,940","6,460","5,970","5,490",,,
GPX,GENTLEMAN (Limited Edition),"8,280","7,760","7,260","6,750","6,230","5,730",,,
GPX,DEMON GR150,"6,640","6,220","5,820","5,410","5,000","4,590",,,
GPX,DEMON GR150 (Special Edition),"7,040","6,610","6,180","5,750","5,310","4,870",,,
GPX,DEMON GN150,"6,080","5,700","5,330","4,950","4,590","4,210",,,
GPX,DEMON GN150 (Special Edition),"6,460","6,060","5,670","5,270","4,860","4,470",,,
GPX,DEMON GR200R,"8,010","7,520","7,020","6,530","6,030","5,550",,,
GPX,GR200B,"8,720","8,180","7,640","7,110","6,570","6,030",,,
GPX,LEGEND 150S,"6,080","5,700","5,330","4,950","4,590","4,210",,,
GPX,POPZ,110,"3,790","3,560","3,330","3,090","2,860","2,620",,
GPX,DEMON GR200RR,"8,720","8,180","7,640","7,110","6,570","6,030",,,
BRIXTON,Classic 150i,"7,830","7,350","6,870","6,390","5,910","5,420",,,
BRIXTON,Scrambler 150i,"8,010","7,520","7,020","6,530","6,030","5,550",,,
BRIXTON,Café Racer 150i,"8,250","7,740","7,230","6,720","6,210","5,710",,,
BRIXTON,CROSSFIRE 150XS,"6,230","5,850","5,470","5,080","4,690","4,320",,,
BRIXTON,RAYBURN,150,"8,600","8,070","7,540","7,010","6,480","5,950",,
BRIXTON,FELSBERG 150XC,"7,990","7,490","7,010","6,510","6,020","5,530",,,
SM SPORT,110E (QJ110-18K),"3,320","3,110","2,910","2,700","2,500","2,300",,,
SM SPORT,110R (N2),"3,500","3,280","3,060","2,850","2,630","2,420",,,
SM SPORT,110R,"3,310","3,100","2,900","2,700","2,490","2,290",,,
SM SPORT,SM SPORT 110E (N2),"3,370","3,160","2,960","2,750","2,540","2,340",,,
SM SPORT,SM SPORT 110R (N3),"3,340","3,150","2,940","2,730","2,520","2,320",,,
CFMOTO,PAPIO-XO,"7,150","6,670","6,200","5,720","5,240","4,770",,,
ROYAL ALLOY,GP,180,"9,650","9,060","8,460","7,870","7,280","6,680",,
ROYAL ALLOY,GP,125,"8,770","8,230","7,690","7,150","6,610","6,070",,
ROYAL ALLOY,TG200,"12,510","11,740","10,980","10,200","9,440","8,660",,,
ZONTES,"ZT155 (U,U1,G)","8,190","7,690","7,190","6,680","6,180","5,670",,,
AVETA,SVR180,"7,130","6,690","6,250","5,820","5,380","4,940",,,
AVETA,V13R,"5,120","4,800","4,490","4,170","3,860","3,540",,,
AVETA,RX110 (RT110-25),"3,730","3,500","3,270","3,040","2,810","2,580",,,
AVETA,DY90 (DY90-3A),"2,960","2,780","2,590","2,410","2,230","2,050",,,
AVETA,RANGER 110 (RT110-26A),"3,020","2,830","2,650","2,460","2,270","2,090",,,
AVETA,VS110 (RT110-17),"3,330","3,120","2,910","2,710","2,510","2,300",,,
AVETA,VS110 DB (DISC BRAKE),"4,100","3,850","3,600","3,340","3,090","2,840",,,
AVETA,VS110 DB (DISC BRAKE),"4,100","3,850","3,600","3,340","3,090","2,840",,,
AVETA,VADV150 HYBRID,"9,260","8,690","8,110","7,550","6,980","6,400",,,
AVETA,RANGER MAX EXPLORER,"6,500","6,110","5,700","5,310","4,900","4,500",,,
AVETA,NOVA,125,"5,290","4,960","4,640","4,320","3,980","3,660",,
AVETA,NOVA,160,"7,560","7,100","6,640","6,170","5,700","5,230",,
AVETA,NOVA 160 SE,"7,380","6,930","6,480","6,020","5,570","5,110",,,
AVETA,RANGER CUB CROSS 115 SE,"4,040","3,790","3,540","3,290","3,050","2,790",,,
AVETA,RANGER CUB CROSS,115,"3,500","3,280","3,060","2,850","2,640","2,430",,
AVETA,DY115,"3,160","2,970","2,770","2,580","2,380","2,180",,,
AVETA,DY115 (SE),"3,220","3,020","2,820","2,620","2,430","2,230",,,
AVETA,V13R V2,"5,740","5,390","5,040","4,680","4,320","3,970",,,
QJ MOTOR,LTR 150 (N1),"6,290","5,900","5,510","5,130","4,740","4,350",,,
QJ MOTOR,SRF 15,"6,230","5,850","5,470","5,080","4,690","4,320",,,
QJ MOTOR,AX 200 S,"7,560","7,100","6,640","6,170","5,700","5,230",,,
VOGE,FORMICA ROSSA,150,"6,230","5,850","5,470","5,080","4,690","4,320",,
KAMAX,SUPER PRO,125,"6,730","6,310","5,900","5,490","5,070","4,660",,
MODA,MOCA (SL110),"3,690","3,470","3,240","3,010","2,790","2,560",,,
